indic_se,l_serv,nace_r2,sex,sizeclas,unit,time\geo	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	ES 	FR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	CH 	AL 	RS 
ERN,Y15-19,B-E,M,TOTAL,PPS,2018	: 	7.69 	11.75 	: 	25.67 	10.64 	22.92 	14.89 	: 	: 	11.45 	9.14 	9.27 	: 	10.32 	: 	19.74 	: 	11.94 	: 	: 	12.69 	10.57 	: 	: 	18.52 	: 	25.78 	25.3 	: 	: 
ERN,Y15-19,B-E,T,GE10,EUR,2018	24.27 	3.69 	8.1 	36.88 	26.06 	7.77 	28.75 	13.97 	19.98 	16.07 	10.57 	6.34 	5.89 	24.37 	6.29 	12.07 	21.44 	21.77 	6.76 	7.32 	5.23 	10.58 	7.76 	22.83 	22.81 	21.85 	31.36 	38.29 	37.46 	2.43 	4.03 
ERN,Y15-19,B-E,T,GE10,NAC,2018	24.27 	7.22 	207.69 	274.86 	26.06 	7.77 	28.75 	13.97 	19.98 	16.07 	10.57 	6.34 	5.89 	24.37 	2006.95 	12.07 	21.44 	21.77 	28.79 	7.32 	24.34 	10.58 	7.76 	22.83 	233.99 	19.33 	4011.27 	367.48 	43.27 	310.09 	476.13 
ERN,Y15-19,B-E,T,GE10,PPS,2018	21.14 	7.09 	11.03 	26.05 	24.39 	9.36 	21.67 	14.6 	17.58 	15.53 	11.75 	8.29 	8.66 	18.82 	9.76 	14.17 	18.56 	19.44 	11.35 	8.22 	9.67 	12.14 	9.73 	18.13 	18.45 	18.19 	19.32 	25.35 	24.01 	4.49 	7.23 
ERN,Y15-19,B-E,T,TOTAL,EUR,2018	: 	3.61 	7.92 	: 	25.64 	7.58 	28.28 	13.69 	: 	: 	9.77 	6.27 	5.72 	: 	6.21 	: 	21.42 	: 	6.74 	: 	: 	10.44 	7.64 	: 	: 	21.56 	: 	38.02 	37.22 	: 	: 
ERN,Y15-19,B-E,T,TOTAL,NAC,2018	: 	7.06 	203.11 	: 	25.64 	7.58 	28.28 	13.69 	: 	: 	9.77 	6.27 	5.72 	: 	1978.82 	: 	21.42 	: 	28.7 	: 	: 	10.44 	7.64 	: 	: 	19.08 	: 	364.88 	42.99 	: 	: 
ERN,Y15-19,B-E,T,TOTAL,PPS,2018	: 	6.94 	10.79 	: 	24 	9.14 	21.31 	14.3 	: 	: 	10.86 	8.19 	8.42 	: 	9.63 	: 	18.55 	: 	11.31 	: 	: 	11.97 	9.59 	: 	: 	17.95 	: 	25.17 	23.86 	: 	: 
ERN,Y15-19,B-F,F,GE10,EUR,2018	21.23 	3.18 	6.56 	33.75 	21.05 	6.1 	24.68 	12.64 	18.47 	13.97 	9.14 	5.62 	5.3 	21.49 	5.29 	9.75 	17.75 	18.16 	5.98 	6.33 	4.42 	9.27 	6.13 	21.07 	22.22 	19.86 	26.79 	34.4 	31.49 	2.01 	3.96 
ERN,Y15-19,B-F,F,GE10,NAC,2018	21.23 	6.21 	168.19 	251.55 	21.05 	6.1 	24.68 	12.64 	18.47 	13.97 	9.14 	5.62 	5.3 	21.49 	1685.7 	9.75 	17.75 	18.16 	25.47 	6.33 	20.58 	9.27 	6.13 	21.07 	227.95 	17.57 	3425.75 	330.2 	36.37 	256.4 	468.02 
ERN,Y15-19,B-F,F,GE10,PPS,2018	18.49 	6.11 	8.93 	23.84 	19.71 	7.35 	18.6 	13.21 	16.26 	13.5 	10.16 	7.34 	7.8 	16.59 	8.2 	11.45 	15.37 	16.22 	10.04 	7.1 	8.17 	10.63 	7.69 	16.73 	17.98 	16.54 	16.5 	22.78 	20.19 	3.72 	7.11 
ERN,Y15-19,B-F,F,TOTAL,EUR,2018	: 	3.12 	6.46 	: 	20.16 	5.95 	24.23 	12.31 	: 	: 	8.74 	5.5 	5.24 	: 	5.26 	: 	17.56 	: 	5.95 	: 	: 	9.27 	6.06 	: 	: 	19.34 	: 	34.24 	30.99 	: 	: 
ERN,Y15-19,B-F,F,TOTAL,NAC,2018	: 	6.1 	165.76 	: 	20.16 	5.95 	24.23 	12.31 	: 	: 	8.74 	5.5 	5.24 	: 	1678.61 	: 	17.56 	: 	25.35 	: 	: 	9.27 	6.06 	: 	: 	17.11 	: 	328.61 	35.79 	: 	: 
