indic_se,l_serv,nace_r2,sex,sizeclas,unit,time\geo	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	ES 	FR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	CH 	AL 	RS 
ERN,TOTAL,B-S,M,TOTAL,NAC,2018	: 	6.53 	192.28 	: 	20.93 	7.93 	23.28 	12.3 	: 	: 	11.08 	6.7 	5.5 	: 	1790.69 	: 	20.11 	: 	27.8 	: 	: 	9.6 	7.36 	: 	: 	18.72 	: 	307.54 	44.61 	: 	: 
ERN,TOTAL,B-S,M,TOTAL,PPS,2018	: 	6.41 	10.21 	: 	19.59 	9.55 	17.54 	12.85 	: 	: 	12.32 	8.76 	8.09 	: 	8.71 	: 	17.41 	: 	10.96 	: 	: 	11.01 	9.23 	: 	: 	17.61 	: 	21.22 	24.76 	: 	: 
ERN,TOTAL,B-S,T,GE10,EUR,2018	: 	3.3 	7.18 	29.62 	19.76 	7.54 	22.98 	12.31 	17.88 	15.77 	11.41 	6.3 	5.34 	25.6 	5.35 	11.86 	18.75 	: 	6.28 	: 	5.23 	9.71 	6.7 	20.2 	20.21 	19.51 	26.34 	30.05 	35.66 	: 	3.43 
ERN,TOTAL,B-S,T,GE10,NAC,2018	: 	6.45 	184.04 	220.79 	19.76 	7.54 	22.98 	12.31 	17.88 	15.77 	11.41 	6.3 	5.34 	25.6 	1706.5 	11.86 	18.75 	: 	26.74 	: 	24.36 	9.71 	6.7 	20.2 	207.36 	17.26 	3369.25 	288.41 	41.19 	: 	406.04 
ERN,TOTAL,B-S,T,GE10,PPS,2018	: 	6.34 	9.77 	20.93 	18.5 	9.08 	17.31 	12.86 	15.74 	15.24 	12.69 	8.23 	7.86 	19.77 	8.3 	13.93 	16.24 	: 	10.54 	: 	9.68 	11.13 	8.41 	16.04 	16.35 	16.24 	16.23 	19.9 	22.86 	: 	6.17 
ERN,TOTAL,B-S,T,TOTAL,EUR,2018	: 	3.1 	6.87 	: 	18.94 	7.18 	22.08 	11.61 	: 	: 	10.55 	6.15 	5.18 	: 	5.26 	: 	18.6 	: 	6.23 	: 	: 	9.29 	6.65 	: 	: 	19.17 	: 	30.05 	35.25 	: 	: 
ERN,TOTAL,B-S,T,TOTAL,NAC,2018	: 	6.06 	176.08 	: 	18.94 	7.18 	22.08 	11.61 	: 	: 	10.55 	6.15 	5.18 	: 	1678.73 	: 	18.6 	: 	26.56 	: 	: 	9.29 	6.65 	: 	: 	16.96 	: 	288.37 	40.72 	: 	: 
ERN,TOTAL,B-S,T,TOTAL,PPS,2018	: 	5.96 	9.35 	: 	17.74 	8.65 	16.64 	12.13 	: 	: 	11.73 	8.03 	7.62 	: 	8.17 	: 	16.1 	: 	10.47 	: 	: 	10.65 	8.35 	: 	: 	15.96 	: 	19.89 	22.6 	: 	: 
ERN,TOTAL,B-S_X_O,F,GE10,EUR,2018	19.58 	3.05 	6.29 	27.3 	17.33 	6.64 	21.55 	11.35 	16.4 	15.07 	10.63 	5.63 	4.9 	24.91 	5.04 	10.98 	16.85 	15.15 	5.98 	7.35 	5.06 	9.08 	5.95 	18.32 	18.91 	17.32 	24.11 	27.68 	31.77 	2.21 	3.23 
ERN,TOTAL,B-S_X_O,F,GE10,NAC,2018	19.58 	5.97 	161.39 	203.44 	17.33 	6.64 	21.55 	11.35 	16.4 	15.07 	10.63 	5.63 	4.9 	24.91 	1606.91 	10.98 	16.85 	15.15 	25.5 	7.35 	23.53 	9.08 	5.95 	18.32 	193.95 	15.33 	3082.81 	265.64 	36.69 	282.18 	382.56 
ERN,TOTAL,B-S_X_O,F,GE10,PPS,2018	17.06 	5.87 	8.57 	19.28 	16.23 	8.01 	16.24 	11.86 	14.44 	14.56 	11.82 	7.36 	7.21 	19.24 	7.82 	12.89 	14.59 	13.53 	10.05 	8.25 	9.34 	10.42 	7.47 	14.54 	15.3 	14.42 	14.85 	18.33 	20.37 	4.09 	5.81 
ERN,TOTAL,B-S_X_O,F,TOTAL,EUR,2018	: 	2.85 	6.08 	: 	16.57 	6.43 	20.79 	10.65 	: 	: 	9.83 	5.56 	4.8 	: 	4.97 	: 	16.56 	: 	5.93 	: 	: 	8.78 	5.93 	: 	: 	17.09 	: 	27.69 	31.36 	: 	: 
ERN,TOTAL,B-S_X_O,F,TOTAL,NAC,2018	: 	5.58 	155.86 	: 	16.57 	6.43 	20.79 	10.65 	: 	: 	9.83 	5.56 	4.8 	: 	1586.29 	: 	16.56 	: 	25.27 	: 	: 	8.78 	5.93 	: 	: 	15.12 	: 	265.73 	36.22 	: 	: 
ERN,TOTAL,B-S_X_O,F,TOTAL,PPS,2018	: 	5.48 	8.28 	: 	15.51 	7.75 	15.67 	11.12 	: 	: 	10.93 	7.27 	7.07 	: 	7.72 	: 	14.34 	: 	9.96 	: 	: 	10.08 	7.44 	: 	: 	14.23 	: 	18.33 	20.1 	: 	: 
ERN,TOTAL,B-S_X_O,M,GE10,EUR,2018	20.78 	3.55 	7.84 	31.97 	21.7 	8.5 	24.29 	12.88 	19.69 	15.93 	11.87 	7 	5.7 	25.28 	5.88 	12.62 	19.76 	19.03 	6.54 	8.06 	5.17 	10.01 	7.42 	22.04 	21.5 	21.6 	28.05 	31.9 	38.91 	2.37 	3.58 
ERN,TOTAL,B-S_X_O,M,GE10,NAC,2018	20.78 	6.94 	200.96 	238.31 	21.7 	8.5 	24.29 	12.88 	19.69 	15.93 	11.87 	7 	5.7 	25.28 	1873.52 	12.62 	19.76 	19.03 	27.87 	8.06 	24.06 	10.01 	7.42 	22.04 	220.58 	19.11 	3587.04 	306.17 	44.94 	302.78 	423.14 
ERN,TOTAL,B-S_X_O,M,GE10,PPS,2018	18.1 	6.82 	10.67 	22.59 	20.32 	10.24 	18.31 	13.46 	17.33 	15.4 	13.2 	9.15 	8.39 	19.52 	9.11 	14.82 	17.11 	16.99 	10.99 	9.05 	9.56 	11.48 	9.31 	17.49 	17.4 	17.99 	17.28 	21.12 	24.94 	4.39 	6.43 
ERN,TOTAL,B-S_X_O,M,TOTAL,EUR,2018	: 	3.33 	7.44 	: 	20.87 	7.87 	23.12 	12.16 	: 	: 	10.88 	6.73 	5.45 	: 	5.72 	: 	19.8 	: 	6.51 	: 	: 	9.47 	7.34 	: 	: 	21.13 	: 	31.82 	38.61 	: 	: 
ERN,TOTAL,B-S_X_O,M,TOTAL,NAC,2018	: 	6.52 	190.71 	: 	20.87 	7.87 	23.12 	12.16 	: 	: 	10.88 	6.73 	5.45 	: 	1824.09 	: 	19.8 	: 	27.73 	: 	: 	9.47 	7.34 	: 	: 	18.69 	: 	305.4 	44.6 	: 	: 
ERN,TOTAL,B-S_X_O,M,TOTAL,PPS,2018	: 	6.41 	10.13 	: 	19.54 	9.49 	17.42 	12.7 	: 	: 	12.1 	8.79 	8.02 	: 	8.87 	: 	17.14 	: 	10.93 	: 	: 	10.86 	9.22 	: 	: 	17.59 	: 	21.07 	24.75 	: 	: 
ERN,TOTAL,B-S_X_O,T,GE10,EUR,2018	20.19 	3.3 	7.12 	29.53 	19.66 	7.46 	22.88 	12.16 	18.1 	15.55 	11.25 	6.28 	5.28 	25.14 	5.47 	11.9 	18.34 	17.42 	6.28 	7.69 	5.12 	9.57 	6.7 	20.05 	20.18 	19.46 	25.77 	29.85 	35.65 	2.29 	3.41 
ERN,TOTAL,B-S_X_O,T,GE10,NAC,2018	20.19 	6.46 	182.73 	220.11 	19.66 	7.46 	22.88 	12.16 	18.1 	15.55 	11.25 	6.28 	5.28 	25.14 	1743.6 	11.9 	18.34 	17.42 	26.74 	7.69 	23.81 	9.57 	6.7 	20.05 	206.99 	17.21 	3296.31 	286.48 	41.18 	292.61 	403.62 
ERN,TOTAL,B-S_X_O,T,GE10,PPS,2018	17.59 	6.35 	9.7 	20.86 	18.4 	9 	17.24 	12.7 	15.93 	15.03 	12.51 	8.21 	7.77 	19.41 	8.48 	13.97 	15.88 	15.56 	10.54 	8.64 	9.46 	10.98 	8.41 	15.91 	16.33 	16.2 	15.88 	19.76 	22.85 	4.24 	6.13 
ERN,TOTAL,B-S_X_O,T,TOTAL,EUR,2018	: 	3.09 	6.81 	: 	18.8 	7.1 	21.94 	11.44 	: 	: 	10.38 	6.12 	5.12 	: 	5.36 	: 	18.24 	: 	6.23 	: 	: 	9.15 	6.65 	: 	: 	19.11 	: 	29.86 	35.24 	: 	: 
ERN,TOTAL,B-S_X_O,T,TOTAL,NAC,2018	: 	6.05 	174.61 	: 	18.8 	7.1 	21.94 	11.44 	: 	: 	10.38 	6.12 	5.12 	: 	1709.75 	: 	18.24 	: 	26.55 	: 	: 	9.15 	6.65 	: 	: 	16.91 	: 	286.62 	40.7 	: 	: 
ERN,TOTAL,B-S_X_O,T,TOTAL,PPS,2018	: 	5.94 	9.27 	: 	17.6 	8.55 	16.53 	11.95 	: 	: 	11.54 	8 	7.53 	: 	8.32 	: 	15.79 	: 	10.46 	: 	: 	10.5 	8.34 	: 	: 	15.91 	: 	19.77 	22.59 	: 	: 
ERN,TOTAL,C,F,GE10,EUR,2018	19.62 	2.48 	5.96 	30.98 	18.88 	5.88 	21.76 	10.99 	16.99 	13.11 	6.74 	5.04 	4.58 	19.78 	4.52 	9.38 	16.93 	15.76 	4.91 	5.45 	3.73 	8.28 	5.68 	20.29 	21.17 	16.85 	23.13 	28.37 	30.06 	1.39 	2.77 
ERN,TOTAL,C,F,GE10,NAC,2018	19.62 	4.85 	152.73 	230.86 	18.88 	5.88 	21.76 	10.99 	16.99 	13.11 	6.74 	5.04 	4.58 	19.78 	1441.28 	9.38 	16.93 	15.76 	20.94 	5.45 	17.36 	8.28 	5.68 	20.29 	217.16 	14.91 	2958.2 	272.24 	34.72 	177.79 	327.45 
ERN,TOTAL,C,F,GE10,PPS,2018	17.09 	4.77 	8.11 	21.88 	17.67 	7.09 	16.4 	11.48 	14.95 	12.67 	7.5 	6.59 	6.75 	15.28 	7.01 	11.02 	14.66 	14.07 	8.25 	6.12 	6.9 	9.5 	7.13 	16.11 	17.13 	14.03 	14.25 	18.78 	19.27 	2.58 	4.97 
ERN,TOTAL,C,F,TOTAL,EUR,2018	: 	2.42 	5.86 	: 	18.34 	5.8 	21.46 	10.56 	: 	: 	6.88 	4.99 	4.52 	: 	4.49 	: 	16.62 	: 	4.9 	: 	: 	8.15 	5.66 	: 	: 	16.66 	: 	28.18 	29.83 	: 	: 
ERN,TOTAL,C,F,TOTAL,NAC,2018	: 	4.73 	150.27 	: 	18.34 	5.8 	21.46 	10.56 	: 	: 	6.88 	4.99 	4.52 	: 	1432.01 	: 	16.62 	: 	20.9 	: 	: 	8.15 	5.66 	: 	: 	14.74 	: 	270.48 	34.45 	: 	: 
ERN,TOTAL,C,F,TOTAL,PPS,2018	: 	4.65 	7.98 	: 	17.17 	6.99 	16.17 	11.03 	: 	: 	7.65 	6.52 	6.65 	: 	6.97 	: 	14.39 	: 	8.24 	: 	: 	9.35 	7.1 	: 	: 	13.87 	: 	18.66 	19.12 	: 	: 
ERN,TOTAL,C,M,GE10,EUR,2018	21.97 	3.2 	7.78 	34.47 	24.62 	8.19 	24.23 	13.24 	19.86 	15.47 	9.07 	6.35 	6.08 	22.23 	5.83 	12.23 	21.08 	20.05 	6.02 	7.12 	4.79 	9.76 	7.6 	22.11 	22.08 	20.08 	28.52 	31.41 	37 	1.81 	3.43 
ERN,TOTAL,C,M,GE10,NAC,2018	21.97 	6.25 	199.51 	256.92 	24.62 	8.19 	24.23 	13.24 	19.86 	15.47 	9.07 	6.35 	6.08 	22.23 	1858.53 	12.23 	21.08 	20.05 	25.66 	7.12 	22.28 	9.76 	7.6 	22.11 	226.54 	17.76 	3647.78 	301.47 	42.74 	230.48 	405.2 
ERN,TOTAL,C,M,GE10,PPS,2018	19.14 	6.15 	10.6 	24.35 	23.04 	9.87 	18.26 	13.83 	17.48 	14.95 	10.09 	8.3 	8.95 	17.17 	9.04 	14.36 	18.25 	17.91 	10.12 	7.99 	8.85 	11.19 	9.53 	17.55 	17.87 	16.72 	17.57 	20.8 	23.72 	3.34 	6.16 
ERN,TOTAL,C,M,TOTAL,EUR,2018	: 	3.09 	7.58 	: 	24.25 	7.93 	23.66 	12.77 	: 	: 	8.82 	6.19 	5.89 	: 	5.75 	: 	20.85 	: 	6.01 	: 	: 	9.47 	7.54 	: 	: 	19.83 	: 	31.23 	36.7 	: 	: 
ERN,TOTAL,C,M,TOTAL,NAC,2018	: 	6.04 	194.38 	: 	24.25 	7.93 	23.66 	12.77 	: 	: 	8.82 	6.19 	5.89 	: 	1833.69 	: 	20.85 	: 	25.6 	: 	: 	9.47 	7.54 	: 	: 	17.54 	: 	299.76 	42.39 	: 	: 
ERN,TOTAL,C,M,TOTAL,PPS,2018	: 	5.93 	10.32 	: 	22.7 	9.56 	17.83 	13.34 	: 	: 	9.81 	8.09 	8.66 	: 	8.92 	: 	18.06 	: 	10.09 	: 	: 	10.86 	9.46 	: 	: 	16.51 	: 	20.68 	23.53 	: 	: 
ERN,TOTAL,C,T,GE10,EUR,2018	21.19 	2.85 	7.12 	33.42 	23.16 	7.19 	23.53 	12.66 	19.03 	14.85 	8.09 	5.83 	5.4 	21.82 	5.35 	11.39 	20.18 	19 	5.66 	6.42 	4.28 	9.27 	6.89 	21.65 	21.87 	19.34 	26.83 	30.73 	34.9 	1.53 	3.15 
ERN,TOTAL,C,T,GE10,NAC,2018	21.19 	5.56 	182.57 	249.06 	23.16 	7.19 	23.53 	12.66 	19.03 	14.85 	8.09 	5.83 	5.4 	21.82 	1705.2 	11.39 	20.18 	19 	24.1 	6.42 	19.92 	9.27 	6.89 	21.65 	224.31 	17.11 	3431.67 	294.9 	40.31 	195.3 	372.14 
ERN,TOTAL,C,T,GE10,PPS,2018	18.46 	5.47 	9.7 	23.61 	21.68 	8.66 	17.73 	13.22 	16.75 	14.35 	9 	7.62 	7.95 	16.85 	8.3 	13.37 	17.47 	16.97 	9.5 	7.21 	7.91 	10.63 	8.64 	17.19 	17.69 	16.1 	16.53 	20.34 	22.37 	2.83 	5.65 
ERN,TOTAL,C,T,TOTAL,EUR,2018	: 	2.76 	6.96 	: 	22.7 	7.02 	23.03 	12.18 	: 	: 	8.11 	5.72 	5.27 	: 	5.29 	: 	19.9 	: 	5.64 	: 	: 	9.05 	6.85 	: 	: 	19.1 	: 	30.54 	34.6 	: 	: 
ERN,TOTAL,C,T,TOTAL,NAC,2018	: 	5.4 	178.48 	: 	22.7 	7.02 	23.03 	12.18 	: 	: 	8.11 	5.72 	5.27 	: 	1687.03 	: 	19.9 	: 	24.04 	: 	: 	9.05 	6.85 	: 	: 	16.89 	: 	293.15 	39.96 	: 	: 
ERN,TOTAL,C,T,TOTAL,PPS,2018	: 	5.31 	9.48 	: 	21.25 	8.47 	17.36 	12.73 	: 	: 	9.02 	7.48 	7.76 	: 	8.21 	: 	17.23 	: 	9.48 	: 	: 	10.38 	8.59 	: 	: 	15.9 	: 	20.22 	22.18 	: 	: 
ERN,TOTAL,D,F,GE10,EUR,2018	28.55 	5.11 	8.59 	34.22 	24.56 	8.39 	30.61 	19.28 	21.41 	17.17 	: c	6.24 	5.91 	: c	6.86 	: c	23.38 	22.89 	8.04 	17.64 	5.96 	13.28 	8.36 	23.29 	22.99 	20.92 	34.99 	36.43 	37.76 	3.57 	: c
ERN,TOTAL,D,F,GE10,NAC,2018	28.55 	10 	220.26 	255.02 	24.56 	8.39 	30.61 	19.28 	21.41 	17.17 	: c	6.24 	5.91 	: c	2187.55 	: c	23.38 	22.89 	34.25 	17.64 	27.72 	13.28 	8.36 	23.29 	235.84 	18.51 	4475.01 	349.61 	43.61 	455.2 	: c
ERN,TOTAL,D,F,GE10,PPS,2018	24.87 	9.83 	11.7 	24.17 	22.99 	10.11 	23.07 	20.15 	18.85 	16.59 	: c	8.16 	8.7 	: c	10.64 	: c	20.25 	20.44 	13.5 	19.8 	11.01 	15.24 	10.49 	18.49 	18.6 	17.42 	21.55 	24.12 	24.2 	6.6 	: c
ERN,TOTAL,D,F,TOTAL,EUR,2018	: 	5 	8.48 	: 	23.98 	8.3 	: 	18.57 	: 	: 	: 	6.31 	5.96 	: 	6.86 	: 	22.98 	: 	8.03 	: 	: 	13.22 	8.32 	: 	: 	20.99 	: 	36.26 	37.78 	: 	: 
ERN,TOTAL,D,F,TOTAL,NAC,2018	: 	9.79 	217.52 	: 	23.98 	8.3 	: 	18.57 	: 	: 	: 	6.31 	5.96 	: 	2186.55 	: 	22.98 	: 	34.22 	: 	: 	13.22 	8.32 	: 	: 	18.57 	: 	348.02 	43.63 	: 	: 
ERN,TOTAL,D,F,TOTAL,PPS,2018	: 	9.62 	11.55 	: 	22.45 	10 	: 	19.4 	: 	: 	: 	8.24 	8.77 	: 	10.64 	: 	19.89 	: 	13.49 	: 	: 	15.16 	10.44 	: 	: 	17.47 	: 	24.01 	24.22 	: 	: 
ERN,TOTAL,D,M,GE10,EUR,2018	30.4 	5.77 	10.4 	42.13 	31 	9.76 	: c	22.7 	24.01 	19.32 	: c	6.59 	6.51 	: c	8.48 	: c	27.5 	26.73 	8.47 	17.7 	6.61 	13.56 	9.82 	28.35 	25.4 	26.04 	37.74 	40.76 	43.3 	3.42 	: c
ERN,TOTAL,D,M,GE10,NAC,2018	30.4 	11.28 	266.82 	314 	31 	9.76 	: c	22.7 	24.01 	19.32 	: c	6.59 	6.51 	: c	2705.62 	: c	27.5 	26.73 	36.09 	17.7 	30.75 	13.56 	9.82 	28.35 	260.59 	23.04 	4826.22 	391.2 	50.01 	436.43 	: c
ERN,TOTAL,D,M,GE10,PPS,2018	26.48 	11.09 	14.17 	29.76 	29.02 	11.76 	: c	23.71 	21.13 	18.67 	: c	8.62 	9.58 	: c	13.16 	: c	23.81 	23.87 	14.23 	19.88 	12.21 	15.56 	12.32 	22.5 	20.55 	21.68 	23.25 	26.99 	27.76 	6.32 	: c
ERN,TOTAL,D,M,TOTAL,EUR,2018	: 	5.76 	10.23 	: 	30.64 	9.63 	: 	22.02 	: 	: 	: 	6.79 	6.3 	: 	8.42 	: 	27.75 	: 	8.47 	: 	: 	13.4 	9.79 	: 	: 	26 	: 	40.77 	43.42 	: 	: 
ERN,TOTAL,D,M,TOTAL,NAC,2018	: 	11.26 	262.36 	: 	30.64 	9.63 	: 	22.02 	: 	: 	: 	6.79 	6.3 	: 	2685.84 	: 	27.75 	: 	36.08 	: 	: 	13.4 	9.79 	: 	: 	23 	: 	391.26 	50.15 	: 	: 
ERN,TOTAL,D,M,TOTAL,PPS,2018	: 	11.07 	13.93 	: 	28.68 	11.61 	: 	23.01 	: 	: 	: 	8.87 	9.27 	: 	13.07 	: 	24.03 	: 	14.22 	: 	: 	15.37 	12.28 	: 	: 	21.64 	: 	26.99 	27.84 	: 	: 
ERN,TOTAL,D,T,GE10,EUR,2018	29.77 	5.61 	9.92 	39.53 	29.32 	9.33 	: c	21.88 	23.31 	18.9 	: c	6.49 	6.36 	: c	8.09 	: c	26.56 	26.11 	8.38 	17.69 	6.46 	13.51 	9.45 	26.85 	24.73 	24.66 	36.94 	39.72 	42.31 	3.46 	5.95 
ERN,TOTAL,D,T,GE10,NAC,2018	29.77 	10.98 	254.51 	294.62 	29.32 	9.33 	: c	21.88 	23.31 	18.9 	: c	6.49 	6.36 	: c	2579.22 	: c	26.56 	26.11 	35.72 	17.69 	30.05 	13.51 	9.45 	26.85 	253.69 	21.82 	4724.22 	381.24 	48.87 	441.19 	703.33 
ERN,TOTAL,D,T,GE10,PPS,2018	25.93 	10.79 	13.52 	27.93 	27.45 	11.25 	: c	22.86 	20.52 	18.26 	: c	8.48 	9.36 	: c	12.55 	: c	23 	23.32 	14.08 	19.86 	11.93 	15.5 	11.86 	21.32 	20.01 	20.53 	22.75 	26.3 	27.12 	6.39 	10.69 
ERN,TOTAL,D,T,TOTAL,EUR,2018	: 	5.57 	9.76 	: 	28.88 	9.22 	35.07 	21.2 	: 	: 	: 	6.65 	6.21 	: 	8.04 	: 	26.61 	: 	8.38 	: 	: 	13.37 	9.42 	: 	: 	24.65 	: 	39.69 	42.35 	: 	: 
ERN,TOTAL,D,T,TOTAL,NAC,2018	: 	10.9 	250.44 	: 	28.88 	9.22 	35.07 	21.2 	: 	: 	: 	6.65 	6.21 	: 	2563.53 	: 	26.61 	: 	35.7 	: 	: 	13.37 	9.42 	: 	: 	21.81 	: 	380.89 	48.92 	: 	: 
ERN,TOTAL,D,T,TOTAL,PPS,2018	: 	10.71 	13.3 	: 	27.03 	11.11 	26.43 	22.15 	: 	: 	: 	8.69 	9.14 	: 	12.47 	: 	23.04 	: 	14.07 	: 	: 	15.33 	11.82 	: 	: 	20.52 	: 	26.28 	27.15 	: 	: 
ERN,TOTAL,E,F,GE10,EUR,2018	20.94 	2.4 	5.88 	29.73 	18.37 	6.8 	22.65 	11.6 	16.63 	13.36 	10.81 	4.91 	4.7 	23.67 	4.93 	: c	17.93 	14.63 	5.38 	7.86 	4.12 	10.52 	5.73 	19.38 	20.33 	19.77 	24.42 	28.76 	32.49 	1.88 	2.85 
ERN,TOTAL,E,F,GE10,NAC,2018	20.94 	4.69 	150.72 	221.59 	18.37 	6.8 	22.65 	11.6 	16.63 	13.36 	10.81 	4.91 	4.7 	23.67 	1571.35 	: c	17.93 	14.63 	22.93 	7.86 	19.18 	10.52 	5.73 	19.38 	208.59 	17.49 	3123.21 	276.06 	37.53 	240.06 	336.75 
ERN,TOTAL,E,F,GE10,PPS,2018	18.24 	4.61 	8 	21 	17.19 	8.2 	17.07 	12.11 	14.64 	12.91 	12.02 	6.42 	6.92 	18.28 	7.64 	: c	15.52 	13.07 	9.04 	8.83 	7.62 	12.07 	7.19 	15.38 	16.45 	16.46 	15.04 	19.04 	20.83 	3.48 	5.12 
ERN,TOTAL,E,F,TOTAL,EUR,2018	: 	2.43 	5.7 	: 	18.04 	6.59 	21.78 	11.48 	: 	: 	9.97 	4.91 	4.72 	: 	4.91 	: 	18 	: 	5.38 	: 	: 	10.36 	5.76 	: 	: 	19.4 	: 	28.73 	32.21 	: 	: 
ERN,TOTAL,E,F,TOTAL,NAC,2018	: 	4.75 	146.16 	: 	18.04 	6.59 	21.78 	11.48 	: 	: 	9.97 	4.91 	4.72 	: 	1564.66 	: 	18 	: 	22.93 	: 	: 	10.36 	5.76 	: 	: 	17.16 	: 	275.72 	37.21 	: 	: 
ERN,TOTAL,E,F,TOTAL,PPS,2018	: 	4.66 	7.76 	: 	16.89 	7.94 	16.41 	11.99 	: 	: 	11.09 	6.42 	6.95 	: 	7.61 	: 	15.59 	: 	9.04 	: 	: 	11.88 	7.22 	: 	: 	16.15 	: 	19.02 	20.65 	: 	: 
ERN,TOTAL,E,M,GE10,EUR,2018	23.73 	2.6 	6.26 	30.93 	19.09 	7.31 	19.33 	12.96 	16.34 	14.05 	9.93 	5.7 	5.35 	24.56 	4.93 	: c	20.58 	15.93 	5.36 	5.9 	4.17 	8.67 	5.86 	19.87 	20.01 	19.24 	22.27 	27.6 	33.66 	1.87 	2.77 
ERN,TOTAL,E,M,GE10,NAC,2018	23.73 	5.09 	160.63 	230.54 	19.09 	7.31 	19.33 	12.96 	16.34 	14.05 	9.93 	5.7 	5.35 	24.56 	1572.78 	: c	20.58 	15.93 	22.84 	5.9 	19.41 	8.67 	5.86 	19.87 	205.28 	17.02 	2848.3 	264.91 	38.87 	238.8 	327.35 
ERN,TOTAL,E,M,GE10,PPS,2018	20.67 	5 	8.53 	21.85 	17.87 	8.81 	14.57 	13.54 	14.38 	13.58 	11.04 	7.45 	7.87 	18.97 	7.65 	: c	17.82 	14.22 	9 	6.62 	7.71 	9.95 	7.35 	15.78 	16.19 	16.02 	13.72 	18.28 	21.58 	3.46 	4.97 
ERN,TOTAL,E,M,TOTAL,EUR,2018	: 	2.6 	6.13 	: 	18.91 	7.09 	18.97 	12.8 	: 	: 	9.94 	5.68 	5.3 	: 	4.83 	: 	20.54 	: 	5.35 	: 	: 	8.65 	5.83 	: 	: 	19.04 	: 	27.62 	34.07 	: 	: 
ERN,TOTAL,E,M,TOTAL,NAC,2018	: 	5.08 	157.25 	: 	18.91 	7.09 	18.97 	12.8 	: 	: 	9.94 	5.68 	5.3 	: 	1541.7 	: 	20.54 	: 	22.79 	: 	: 	8.65 	5.83 	: 	: 	16.84 	: 	265.1 	39.35 	: 	: 
ERN,TOTAL,E,M,TOTAL,PPS,2018	: 	4.99 	8.35 	: 	17.7 	8.55 	14.29 	13.37 	: 	: 	11.05 	7.42 	7.79 	: 	7.5 	: 	17.79 	: 	8.98 	: 	: 	9.93 	7.32 	: 	: 	15.85 	: 	18.29 	21.84 	: 	: 
ERN,TOTAL,E,T,GE10,EUR,2018	22.95 	2.53 	6.17 	30.67 	18.93 	7.16 	20.04 	12.67 	16.4 	13.93 	10.04 	5.43 	5.16 	24.4 	4.93 	: c	20.09 	15.65 	5.36 	6.29 	4.16 	9.08 	5.83 	19.76 	20.08 	19.36 	22.57 	27.82 	33.48 	1.87 	2.79 
ERN,TOTAL,E,T,GE10,NAC,2018	22.95 	4.95 	158.28 	228.62 	18.93 	7.16 	20.04 	12.67 	16.4 	13.93 	10.04 	5.43 	5.16 	24.4 	1572.46 	: c	20.09 	15.65 	22.86 	6.29 	19.35 	9.08 	5.83 	19.76 	205.97 	17.13 	2886.83 	266.96 	38.66 	239.14 	329.58 
ERN,TOTAL,E,T,GE10,PPS,2018	20 	4.87 	8.41 	21.67 	17.73 	8.63 	15.1 	13.24 	14.43 	13.46 	11.17 	7.09 	7.6 	18.85 	7.65 	: c	17.39 	13.98 	9.01 	7.06 	7.68 	10.41 	7.31 	15.69 	16.25 	16.12 	13.9 	18.42 	21.46 	3.47 	5.01 
ERN,TOTAL,E,T,TOTAL,EUR,2018	: 	2.54 	6.03 	: 	18.72 	6.94 	19.58 	12.52 	: 	: 	9.94 	5.42 	5.13 	: 	4.85 	: 	20.08 	: 	5.36 	: 	: 	9.03 	5.82 	: 	: 	19.12 	: 	27.82 	33.77 	: 	: 
ERN,TOTAL,E,T,TOTAL,NAC,2018	: 	4.97 	154.66 	: 	18.72 	6.94 	19.58 	12.52 	: 	: 	9.94 	5.42 	5.13 	: 	1546.91 	: 	20.08 	: 	22.82 	: 	: 	9.03 	5.82 	: 	: 	16.92 	: 	267.04 	39 	: 	: 
ERN,TOTAL,E,T,TOTAL,PPS,2018	: 	4.88 	8.21 	: 	17.52 	8.37 	14.76 	13.08 	: 	: 	11.05 	7.08 	7.55 	: 	7.53 	: 	17.38 	: 	8.99 	: 	: 	10.36 	7.3 	: 	: 	15.92 	: 	18.42 	21.65 	: 	: 
ERN,TOTAL,F,F,GE10,EUR,2018	16.9 	3.06 	6.31 	28.9 	15.62 	6.74 	18.35 	11.79 	19.23 	12.87 	9.68 	6.2 	5.15 	19.74 	4.77 	9.15 	18.64 	15.75 	6.15 	6.54 	4.55 	10.1 	5.55 	19.55 	21.17 	18.62 	29.92 	32.19 	31.4 	1.98 	3.32 
ERN,TOTAL,F,F,GE10,NAC,2018	16.9 	5.99 	161.9 	215.36 	15.62 	6.74 	18.35 	11.79 	19.23 	12.87 	9.68 	6.2 	5.15 	19.74 	1520.79 	9.15 	18.64 	15.75 	26.19 	6.54 	21.19 	10.1 	5.55 	19.55 	217.13 	16.47 	3826.82 	308.98 	36.27 	252.46 	392.49 
ERN,TOTAL,F,F,GE10,PPS,2018	14.72 	5.88 	8.6 	20.41 	14.62 	8.12 	13.83 	12.32 	16.92 	12.44 	10.76 	8.1 	7.58 	15.24 	7.4 	10.74 	16.14 	14.07 	10.32 	7.34 	8.42 	11.58 	6.96 	15.52 	17.12 	15.5 	18.43 	21.32 	20.13 	3.66 	5.96 
